Date,Open,High,Low,Close,Volume,OI,Acutal Open,Range High,Range Low,Range,Gap Up/Down,Trend,Trend Strength,5 Candle Strength,10 Candle Strength,50 Candle Strength,10 Candle,10 MA Trend,50 Candle,50 MA Trend
2025-01-08T00:00:00+05:30,1930,1938.6,1888.75,1933.15,5482050,0,1930.85,1938.6,1888.75,49.85,-0.85,UP,2.3,,,71.1,,,,
2025-01-07T00:00:00+05:30,1945,1958.55,1923.65,1930.85,4294832,0,1937.85,1958.55,1923.65,34.9,7.15,DOWN,-7,,,67.5,,,,
2025-01-06T00:00:00+05:30,1952,1973,1928,1937.85,7164403,0,1938.75,1973,1928,45,13.25,DOWN,-0.9,,,64.45,,,,
2025-01-03T00:00:00+05:30,1952.95,1952.95,1922,1938.75,6218003,0,1957.85,1957.85,1922,35.85,-4.9,DOWN,-19.1,,,87.15,,,,
2025-01-02T00:00:00+05:30,1887,1962.65,1885.3,1957.85,7083645,0,1882.5,1962.65,1882.5,80.15,4.5,UP,75.35,,,105.1,,,,
2025-01-01T00:00:00+05:30,1874,1892.95,1874,1882.5,1838368,0,1880,1892.95,1874,18.95,-6,UP,2.5,,,2.9,,,,
2024-12-31T00:00:00+05:30,1892.3,1897,1845.05,1880,3613063,0,1906,1906,1845.05,60.95,-13.7,DOWN,-26,,,-88.1,,,,
2024-12-30T00:00:00+05:30,1915.7,1916,1886.5,1906,7789055,0,1916.75,1916.75,1886.5,30.25,-1.05,DOWN,-10.75,,,-14.1,,,,
2024-12-27T00:00:00+05:30,1909.4,1924.15,1903.9,1916.75,3937500,0,1907.4,1924.15,1903.9,20.25,2,UP,9.35,,,-42.55,,,,
2024-12-26T00:00:00+05:30,1909.05,1919.75,1902.3,1907.4,3623321,0,1909.05,1919.75,1902.3,17.45,0,DOWN,-1.65,,,-51.5,,,,
2024-12-24T00:00:00+05:30,1927.05,1942,1840,1909.05,2360544,0,1924.3,1942,1840,102,2.75,DOWN,-15.25,,,-26.05,,,,
2024-12-23T00:00:00+05:30,1930.05,1940,1909,1924.3,2781793,0,1922.15,1940,1909,31,7.9,UP,2.15,,,5.3,,,,
2024-12-20T00:00:00+05:30,1975.15,1979.95,1911.25,1922.15,11056720,0,1946.2,1979.95,1911.25,68.7,28.95,DOWN,-24.05,,,-30.6,,,,
2024-12-19T00:00:00+05:30,1934,1959.75,1920,1946.2,5323592,0,1979.15,1979.15,1920,59.15,-45.15,DOWN,-32.95,,,-2.35,,,,
